Приветствие. Знакомство. Прощание	1.0т	Pagautuš. Tuttavuš. Prostiečenda.	сев (0)	Tervehyš Tuttavuštumini Hyväkšymini
здравствуйте, привет	1.1т	terveh	сев(1)	Terveh
здравствуйте вам	1.2т	terveh teilä	сев(2)	Terveh teilä
ну что?	1.3т	nu midä? 	сев(3)	No, mitä kuuluu?
как дела?	1.4т	kuin aziet?	сев(4)	Kuin šie elät?
что делаете? / Что делаешь?	1.5т	midä ruatta?/ midä ruat?	сев(5)	Mitä ruatta? / Mitä ruat?
ну как живёте?	1.6т	nu kuin elättä?	сев(6)	Kuin elät? / Kuin elättä?
живёте потихоньку?	1.7т	elättägo hil’l’akkaziin?	сев(7)	Hil'l'akkaisehko elättä?
здоров ли ты?	1.8т	oletgo terveh?	сев(8)	Oletko terveh? Voitko hyvin?
твоя мать здорова?	1.9т	ongo muamoš terveh?	сев(9)	Onko muamoš terveh?
как мать?	1.10т	kuinbua muamo?	сев(10)	Kuinpa muamoš voit?
как тебя зовут?	1.11т	kuin šilma kučutah?	сев(11)	Kuin šilma kučutah?
меня зовут Маша	1.12т	milma kučutah Maša	сев(12)	Milma kučutah Maikki
какого ты рода?	1.13т	kenen olet?	сев(13)	Mi šukuo olet?
Смородов	1.14т	Smorodovan	сев(14)	Olen Smorodovin šukuo
Ты откуда приехал?	1.15т	mistä sie tuliit?	сев(15)	Mistä päin olet?
Из какой деревни?	1.16т	mistä kyläštä?	сев(16)	Mistä kyläštä olet?
Я из Твери	1.17т	mie olen Tveristä	сев(17)	Olen Tverin kaupunkista
Из какой далёкой земли ты, оказывается, приехал!	1.18т	edähädä šie tuliit!	сев(18)	Kuin etähyätä tulit!
Надолго приехал?	1.19т	viikokši go tuliit?	сев(19)	Kuin pitälti ajakši tulit?
Я приехал на месяц	1.20т	mie tuliin kuukši	сев(20)	Ka kuukauvekši tulin
По каким-то делам приехал?	1.21т	midä dielua tuliit?	сев(21)	Mitä hommie rupiet ruatamah?
Я приехал в гости	1.22т	mie tuliin gostih	сев(22)	Mie tulin gostih
Я приехал по работе	1.23т	mie tuliin ruaduo näh	сев(23)	Mie tulin ruatamah
Я жить приехал	1.24т	mie tuliin elämäh	сев(24)	Mie tulin elämäh
Ты женат?	1.25т	oletgo šie naizissa?	сев(25)	Oletko šie naimisissa?
Ты замужем?	1.26т	oletgo šie miehellä?	сев(26)	Oletko miehellä?
Я (не) женат	1.27т	mie olen (en ole) naizissa	сев(27)	Mie olen (en ole) naimisissa
Я (не) замужем	1.28т	mie olen (en ole) miehellä	сев(28)	Mie olen (en ole) miehellä
Дети есть?	1.29т	ongo lašta?	сев(29)	Onko šiula lapši?
Да, есть/ нет	1.30т	da, on/ ei ole	сев(30)	On/ei ole
до свидания! (говорит уходящий)	1.31т	jiä tervehenä! Jiägiä tervehenä!	сев(31)	Jiäkyä tervehekši Hyväšti!
до свидания! (говорят уходящим)	1.32т	mane tervehenä! Mängiä tervehenä!	сев(32)	Mänkyä tervehenä Hyväšti!
ещё раз приезжай	1.33т	tule vielä	сев(33)	Tule toičči
своим привет передавай	1.34т	šano tervehyttä omahizilla	сев(34)	Kerro tervehyisie omahisilla
Всего хорошего.	1.35т	Kaikkie hyviä	сев(35)	Kaikkie hyvyä / Voikua hyvin
