Разговор, общие фразы	2.0т	Pagina	сев (0)	pakina
				
Как интересно!	2.1т	kuin interesno!	сев(1)	Voi, kuin mukava!
Надо же!	2.2т	nado že!	сев(2)	Niinkö?!
да	2.3т	da	сев(3)	Kyllä
Он приехал?	2.4т	hiän tuli?	сев(4)	Hiänkö tuli?
Да, приехал / нет	2.5т	da, tuli / ei	сев(5)	Kyllä, hiän še on / Ei Tämä ei ole
				
действительно!	2.6т	toveštah!	сев(6)	Tovellah!
сделай, пожалуйста!	2.7т	luaji, ole hyvä!	сев(7)	Luaji še, ole hyvä!
Как жалко	2.8т	kuin žuali on	сев(8)	Kuin šiäli on!
Ты по-карельски говоришь?	2.9т	pagizetgo šie karielakši?	сев(9)	Pakajatko karjalakši?
Я по-карельски немножко говорю	2.10т	mie vähäzen pagizen karielakši	сев(10)	Mie pakajan vähän karjalakši
Я по-карельски только понимаю немножко	2.11т	mie karielakši vain vähäzen maltan	сев(11)	Mie karjalakši vain vähän maltan/ymmärrän
Язык наш забывается	2.12т	kieli miän unahtuu	сев(12)	Meijän kieli unohtuu
Язык наш надо сохранять	2.13т	miän kiel’dä pidäy äbäžöijä	сев(13)	Meijän kieli pitäy šäilyttyä
С детьми надо по-карельски говорить	2.14т	lapšinke pidäy karielakši paissa	сев(14)	Lapšien kera pitäy paissa omalla kielellä
Скажи помедленнее	2.15т	pagize hillembäzeh	сев(15)	Pakaja hitahammin
Ещё раз повтори	2.16т	šano vielä kerda	сев(16)	Šano vielä kerran
Понятно!	2.17т	maltan!	сев(17)	Maltan Ymmärrän
Давайте по-карельски поговорим	2.18т	davaigua karielakši pagizomah	сев(18)	Paiskah karjalakši!
У меня диалект немножко другой	2.19т	miun murreh vähäzet toista on	сев(19)	Miun pakinatapa on vähän toisenmoini
Как красиво!	2.20т	kuin šomah on!	сев(20)	Kuin čoma še on!
Она мастерица	2.21т	hiän on nerokaš	сев(21)	Hiän on nerokaš Hiän on muasteri
Какой у неё красивый голос	2.22т	hänellä on šoma ijäni	сев(22)	Hänellä on čoma iäni
Какой красивый платок	2.23т	šoma paikka on	сев(23)	Kuin kaunis paikka hänellä on
Погодка холодная	2.24т	šiä on vilu	сев(24)	Šiä on vilu tänäpiänä
какая погода сегодня?	2.25т	mytyš šiä tänäpiänä on?	сев(25)	Mimmoni šiä tänäpiänä on?
Вот бы погода была хорошая	2.26т	oliis’ vain šiä hyvä	сев(26)	Olispa šiä hyvä
(Сегодня) пурга	2.27т	tänäpiänä on pöyry	сев(27)	Tänäpiänä tuiskuttau
(Сегодня) снег	2.28т	tänäpiänä on lumi	сев(28)	Tänäpiänä lunta šatau
(Сегодня) дождь	2.29т	tänäpiänä on vihma	сев(29)	Tänäpiänä vihmuu
(Сегодня) непогода	2.30т	tänäpiänä on paha šiä	сев(30)	Tänäpiänä on paha šiä
(Сегодня) жарко	2.31т	tänäpiänä on ägie	сев(31)	Tänäpiänä on äkie
(Сегодня) холодно	2.32т	tänäpiänä on vilu	сев(32)	Tänäpiänä on kylmä
Комаров (нынче) много	2.33т	šiäštä nyt on äijä	сев(33)	Šiäkšie on äijän
Мошки (нынче) много	2.34т	tihtä nyt on äijä	сев(34)	Mäkäryä on äijän
Комаров нынче мало	2.35т	šiäštä nyt on vähä	сев(35)	Šiäkšie on vähän37
				
Надоели комары!	2.36т	nadoimittih šiäkšet!	сев(36)	Šiäkšet ihnaššutetah
Надоели мошки!	2.37т	nadoimittih tihet!	сев(37)	Mäkärä kylläššyttäy
Сядь	2.38т	istuoče	сев(38)	Istuuvu!
Сядь, пожалуйста	2.39т	istuoče, ole hyvä	сев(39)	Issu, ole hyvä!
Встань	2.40т	nouže	сев(40)	Nouše!
Пропусти меня	2.41т	lašše milma	сев(41)	Laše milma!
Заходи	2.42т	tule	сев(42)	Tule!
Иди сюда	2.43т	tule tänne	сев(43)	Tule tänne!
Давай перекусим	2.44т	davai šyöllämmä	сев(44)	Ruvekka šyömäh!
Давай чаю попьём	2.45т	davai čuajuo juollamma	сев(45)	Ruvekka čäijyö juomah!
Сходим куда-нибудь	2.46т	kävelemmä kunneigi	сев(46)	Läkkä kunne lienöy!
Помоги мне немножко	2.47т	auta miula vähäzen	сев(47)	Ole hyvä, auta milma vähäsen!
Дай закурить	2.48т	ana zakurie	сев(48)	Anna tupakkua
Сходи в магазин	2.49т	kävele laukkah	сев(49)	Mäne kauppah!
Ну что, пойдём? 	2.50т	nu midä, lähemmä?	сев(50)	No mitä, läkkä!
				
Хватит!	2.51т	hyl’giä	сев(51)	Rittäy!
Достаточно!	2.52т	kyllä	сев(52)	Rittäväšti!
(собаке) Пошла отсюда!	2.53т	mane pois’!	сев(53)	Mäne pois!
(собаке) хорошая собака	2.54т	hyvä koira	сев(54)	Hyvä koira!
Моя собака не злая	2.55т	miun koira ei ole pattie	сев(55)	Miun koira ei ole ilkie
Моя собака не кусается	2.56т	miun koira ei pure	сев(56)	Miun koira ei pure
Есть хочется	2.57т	šyvvä tahottau	сев(57)	Himottais šyyvvä
Я голоден	2.58т	mie olen nälläštyn	сев(58)	Miula on nälkä
Пить хочется	2.59т	juvva tahottau	сев(59)	Himottais juuvva
Спать хочется	2.60т	muata tahottau	сев(60)	Himottais muate
Мне нужно в туалет	2.61т	miula pidäy ubornoih	сев(61)	Miun pitäis veššah
				
Давно тебя не видел.	2.62т	Viikon šilma en nähnyn	сев(62)	Eipä šilma ole näkyn
наш народ такой гостеприимный	2.63т	miän rahvaš on rahmannoi	сев(63)	meijän ristikanša kyllä on vierahanpitäjä
Правду говорят	2.64т	šanotah praudua	сев(64)	Totta šanotah
Приехал к родственникам.	2.65т	tuliin omahiziin luoh	сев(65)	Tulin heimolaisien luokše
Ты в командировке или в отпуске?	2.66т	oletgo šie komandiroukašša ali laškušša?	сев(66)	Oletko šie komennukšella vain lomalla?
Вы один?	2.67т	Oletgo yksiin?	сев(67)	Oletko yksin?
Рада познакомиться.	2.68т	olen ruadi tunnuštuačie	сев(68)	Mukava tutuštuo
Взаимно.	2.69т	yheštäh	сев(69)	Šamoin
Ну и что?	2.70т	nu i midä?	сев(70)	Ta mitä šiitä?
Успокойся.	2.71т	tyynissy	сев(71)	Rauhotu nyt
как время летит.	2.72т	kuin boiko aiga mänöy	сев(72)	Kačo, kuin aika rientäy
Ну и чудеса.	2.73т	ka i čuuda	сев(73)	Voi čuutuo
Успехов тебе	2.74т	lykkyö šiula	сев(74)	Lykkyö šiula
у него руки золотые	2.75т	nerokaš ristikanža	сев(75)	hänellä ei ole peukalo kešellä kämmentä
