Дела. Занятия.	3.0т	Dielat. Aziet	сев(0)	Asiet. Harraššukšet
				
хлопоты, дела	3.1т	aziet	сев(1)	hommat
я топлю баню	3.2т	mie lämmitän kylyö	сев(2)	lämmittyä kylyö
я останусь на ночь	3.3т	mie jiän yökši	сев(3)	jiähä yökši
Прошу к столу.	3.4т	tulgua stolah	сев(4)	Tule stolah
Я хотел(а) бы побывать в городе	3.5т	Mie tahtoziin ajella linnah	сев(5)	Haluosin käyvä kaupunkissa
Завтра я поеду в деревню	3.6т	huomena mie lähen kyläh	сев(6)	Huomena mie lähen kyläh
Где хозяин?	3.7т	missä on izändä?	сев(7)	Missä isäntä on?
Дрова колет. 	3.8т	halguo šärgöy	сев(8)	Halkuo pilkkou
Вот он идет.	3.9т	ka hiän kopittau	сев(9)	Tuoššai tulou
Я в домашних хлопотах.	3.10т	mie kodiruadoloida ruan	сев(10)	Kotihommissa olen
Он на рыбалке	3.11т	hiän on ongittamašša kalua	сев(11)	Hiän on kalalla
Я в лесу	3.12т	mie olen mečäššä	сев(12)	Mie olen mečäššä
Мы за ягодами	3.13т	myö olemma marjašša	сев(13)	Myö olemma marjašša
Вы за грибами	3.14т	työ oletta gribašša	сев(14)	Työ oletta šieneššä
Ты на поле	3.15т	šie olet pellolla	сев(15)	Šie olet pellolla
Папа во дворе	3.16т	tuatto on tanhuošša	сев(16)	Tuatto on pihašša
Мама в избе	3.17т	muamo on pertissä	сев(17)	Muamo on pirtissä
Сестра на учебе	3.18т	čikko on opaššukšešša	сев(18)	Čikko on opaššukšešša
Брат на работе	3.19т	velli on ruavolla	сев(19)	Veikko on ruavošša
я на кружке	3.20т	mie olen kruužkalla	сев(20)	Mie olen kerhošša
Собираемся на рыбалку.	3.21т	šuorimma kalah	сев(21)	Šuoriemma kalalla
Поедешь с нами на рыбалку?	3.22т	lähet meinkena kalah?	сев(22)	Lähetkö meijän kera kalalla?
У меня другие планы.	3.23т	miula on omat aziet / pluanat	сев(23)	Miula on muita šuunnitelmie
Она шьет	3.24т	hiän ombelou	сев(24)	Hiän ompelou
Ты вяжешь	3.25т	šie nieglot	сев(25)	Šie tikutat
Он танцует и поет	3.26т	hiän tancuiččou da laulau	сев(26)	Hiän tanššiu ta laulau
