Приготовление пищи. Трапеза	6.0т	Emannuš.  šyöndä		Ruoan laittamini. Šyömini
				
Что сегодня будем готовить?	6.1т	midä tänäpiänä rubiemma varuštamah?	сев(1)	Mitä rupiemma keittämäh tänäpiänä?
Сегодня суп сварим.	6.2т	tänäpiänä keitämmä rokkua	сев(2)	Tänäpiänä keitämmä keittuo.
Рыбу сварим / рыбу пожарим.	6.3т	kalua keitämmä / kalua žuarimma	сев(3)	Keitämmä kalua/suarimma kalua
Мясо сварим.	6.4т	keitämmä lihua	сев(4)	Keitämmä lihua.
Ты поставил кастрюлю на печку?	6.5т	šie paniit kostr’ul’an kiugualla?	сев(5)	Panitko šie kattilan kiukualla?
Воду налил в кастрюлю? - Налил.	6.6т	vettä paniit kostr’ul’ah? – paniin.	сев(6)	Kuavoitko vettä kattilah? Kuavoin.
Я картошку почистил.	6.7т	mie kuoritiin muajuablokkua	сев(7)	Mie kuorin potakkua.
Рыбу нарезала.	6.8т	leikkain palaziksi kalan	сев(8)	Mie leikkasin kalua. 
Посоли (воду в кастрюле).	6.9т	šuolua (vettä kostr’ul’ašša)	сев(9)	Pane šuolua veteh / Šuolua vettä kattilašša
Тесто поставь (намешай).	6.10т	šeizota tahaš	сев(10)	Pane taikinua
Немножко соли не хватает	6.11т	vähäzen šuolua ei fatai	сев(11)	Vielä vähäsen šuolua ei riitä
Многовато соли положила	6.12т	äijäzen šuolua paniit	сев(12)	Liian äijyä šuolua panit
				
Поставь хлеб в печку!	6.13т	pane leibä kiuguah!	сев(13)	Pane leipyä kiukuah
Ждем когда испечется.	6.14т	vuotamma konža paistuu.	сев(14)	Vuotamma, konša leipä on valmis
Хлеб испечется, с горячим хлебом суп будем кушать.	6.15т	leibä paistuu, palavanke leivänke rubiemma šyömäh rokkua.	сев(15)	Leipä on valmis, rupiemma šyömäh šitä kuuman keiton kera
				
В следующий раз суп сварим.	6.16т	Toizeh kerdah keitämmä rokan.	сев(16)	Enši kertua keitämmä rokkua
Мясо опустим в кастрюлю, пусть поварится.	6.17т	panemma liha kostr’ul’ah, ana keittyy.	сев(17)	Panemma lihua kattilah, anna keittyy
Немножко пусть поварится – потом опускаем картошку.	6.18т	vähäzen ana keittyy, šidä panemma muajuablokan	сев(18)	Anna še vähäsen keittyy, šiitä panemma potakkua
Потом лапшу и лук опускаем.	6.19т	šidä panemma makaronua da luukkua.	сев(19)	Šiitä panemma makaronie ta luukkuo
Еще немного поварится, и готово!	6.20т	vielä vähäzen keityy da i valmis’!	сев(20)	Anna še vielä vähäsen kiehuu ta on valmis
				
Дети, идите кушать!	6.21т	lapšet, tulgua šyömäh!	сев(21)	Lapšet, tulkua šyömäh
Спасибо!	6.22т	passibo!	сев(22)	Passipo!
Суп вкусный!	6.23т	magie rokka!	сев(23)	Kuin rokka on makie!
Как хорошо! Спасибо!	6.24т	kuin hyviin! Passibo!	сев(24)	Kuin hyvin on, passipo!
Как я наелась/ся!	6.25т	Kuin mie kylläššyin!	сев(25)	Kuin mie kylläššyin!
