Общение с детьми	7.0т	Pagina lapšinke	7.0 c	Pakina lapšen kera
				
дитятко	7.1т	lapšut	сев(1)	Lapšukaini
средний сынок	7.2т	keškimmäne poiga	сев(2)	Keškimmäini poika
старший сын	7.3т	vanhembi poiga	сев(3)	Vanhempi poika
милый	7.4т	armaš	сев(4)	Armaš tyttö
внук/ внучка	7.5т	vunukka	сев(5)	punukka
какой хороший!	7.6т	mytyš hyvä on!	сев(6)	Kuin hyväččäini on
Хороший мальчик, хорошая девочка	7.7т	hyvä poigä, hyvä tyttöne	сев(7)	Hyvä poika / hyvä tyttö
Самый хороший, самый лучший	7.8т	suamoi hyvä, suamoi paraš	сев(8)	Olet hyvä lapši/ olet paraš lapši
ты мой дорогой	7.9т	šie miun varane	сев(9)	Miun kultani
Побью ведь	7.10т	huuvvan ved’	сев(10)	Paukahutan vet'
Зачем так делаешь?	7.11т	mintän näin ruat?	сев(11)	Mintäh ruat näin?
				
Пора вставать!	7.12т	aiga noušša!	сев(12)	On aika jo noušša
Нет, я еще чуть-чуть полежу.	7.13т	ei, mie vielä vähäzen venyllän	сев(13)	Venyttelen vielä kotvasen
Давай скорее умывайся-одевайся и приходи завтракать.	7.14т	davai boikombazeh pezieče, šuorieče i tule šyömäh	сев(14)	Tule ruttosempah pešeytymäh šuoriutumah ta šyömäh
А сегодня учимся?	7.15т	opaššummago tänäpiänä?	сев(15)	Opaššummako tänäpiänä?
Да, конечно, вставай скорее, а то опоздаешь.	7.16т	nouže väliämme, ei niin et kergie	сев(16)	No tietenkin nouše jo, muiten myöhäššyt
				
Завтра уже выходной	7.17т	huomena lieu lebävöpäivä	сев(17)	Huomena on jo lepopäivä
завтра можешь подольше поспать.	7.18т	huomena voičet muata enämbäzen	сев(18)	huomena voit muata enemmän
Пойдем завтра гулять на озеро?	7.19т	Läkki huomena järvellä?	сев(19)	Läkkä huomena järvellä kävelömäh
Да, хорошо. Можешь позвать друзей.	7.20т	da, hyviin. Voičet kuččuo tovarissoida	сев(20)	Hyvin, läkkä. Voit kuččuo kaverija
				
Почему ты плачешь?	7.21т	mintän šie itet?	сев(21)	Mintäh šie itet?
Что случилось?	7.22т	midä rodih?	сев(22)	Mitä tapahtu?
Тебя кто-то обидел?	7.23т	šilma ken ollou obiidi?	сев(23)	Ken šilma apeiči?
Животик болит	7.24т	vaččane kivistäy	сев(24)	vaččua kivistäy
Нет, я упал и разбил коленку	7.25т	ei, mie langein da hallain polven	сев(25)	Ei mie lankesin ta šatatin polven
Дай поцелую. Скоро всё пройдёт.	7.26т	ana mučkuan. Väliän kaikki proidiu.	сев(26)	Anna puhun, piän kaikki parenou
Дай ему соску, что-то пососать	7.27т	ana hänellä tutune, ana imöy	сев(27)	Anna hänellä huvitutti, anna imöy
Покачай его	7.28т	lekutalla händä	сев(28)	Tuuvita häntä
				
Мама, суп горячий. Подуй немного!	7.29т	muamo, rokka on palava. Puhu vähäzen!	сев(29)	Mamma, rokka on palava. Puhu vähäsen!
Подожди чуть-чуть, он скоро остынет	7.30т	vuota vähäzen, hiän väliän jähtyy	сев(30)	Vuota vähäsen, še kohta jähtyy.
Надо всё доесть	7.31т	pidäy kaikki šyyvä	сев(31)	Pitäy šyyvvä kaiken 
Не буду, наелся	7.32т	en rubie, kylläššyin	сев(32)	En rupie. Kylläššyin
Не хочешь - иди гуляй	7.33т	et taho – mane pihalla	сев(33)	Kun et taho - mäne pihalla
