досуг	8.0т	joudavuš	сев (0)	Ajan vietto
Что делаешь вечером?	8.1т	midä ruat illalla?	сев(1)	Mitä ruat illalla? 
Когда ты свободен?	8.2т	konža šie olet joudava?	сев(2)	Konša šiula on aikua?
Пойдем на концерт.	8.3т	läkki koncertah	сев(3)	Läkkä konserttih
Поехали на праздник.	8.4т	läkki pruazniekalla	сев(4)	Läkkä pruasniekkah yheššä
Пойдем в гости.	8.5т	läkki gostih	сев(5)	Läkkä gostih
Пойдем гулять.	8.6т	läkki gul’aimah	сев(6)	Tuletko kävelömäh
А не хочешь в театр/на выставку.	8.7т	etgo taho lähtie teatrah/ kačondapaikkah?	сев(7)	Etkö taho lähtie teatterih/näyttelyh?
Встретимся в семь.	8.8т	vaštuačemma šeiččimen čuasun aigah	сев(8)	Vaštauvumma kello šeiččemen
Встретимся утром/днем/вечером	8.9т	vaštuačemma huomnekšella / päivällä / illalla	сев(9)	Vaštauvumma huomenekšella/päivällä/illalla
Приходи на чай	8.10т	tule čuajuo juomah	сев(10)	Tule čäijyö juomah
