Си ми миавандуи биси	Ты в моём сердце
Ми миавандуи си тул-тул бидечи	Ты всегда будешь в моём сердце
Ми миавандуи бэуӈгуэси барасимби	Я не нахожу места в своём сердце для тебя
Ми додои-а си хосикта	В моей душе ты звезда
Хайми си оркила очиси?	Почему ты загрустил(а)?
Хайми си аякталахаси?	Почему ты разозлил(а)ся?
Амиолиу	Извини, прости
Ми симбивэ амиолии	Я тебя прощаю
Эди оркисиа	Не злись, не обижайся
Мэнэ насалдии мимбивэ эди ӈэлэчиэ	Не пугай меня своим взглядом
Мимбивэ бодогу	Уважай меня (подумай обо мне, прежде чем сделать что-то плохое)
Мимбивэ эди байгоала…	Прекрати настраиваться ко мне враждебно
Эдини ини-долбо нёамбани улэсими этуэрини	Её муж день и ночь её любя оберегает
Диа диаори бэлэчими балдиосу	Друг другу помогая живите (пожелание молодым)
Эй найва дэӈ-дэӈ дяпачиу	Держись крепко за этого человека
