Эрдэӈгэ!	Интересно!
Си дабал хисаӈгойси	Ты преувеличиваешь
Хонида…	Пожалуйста…
Си-кэ…?	А ты?
Ми-дэ …	Я тоже …
Сайна… бидзэрэ.	Наверно…
Оса… 	Не знаю (кто знает?)
Осачи-осачи	Кто бы знал бы
Ебэ-ебэ	Спасибо (пойдёт)
Уй дяка?	Кто такой?
Тэрэк ундэйси	Правильно говоришь
Ми чихалии	Я согласен (согласна)
Ми чихаласимби	Я несогласен (несогласна)
Му туй мурчиэсимби	Я так не думаю
Абол-абол	Ерунда какая-то
Эдиэнэ	Подожди (досл. “не иди”)
Ми мурчигуи-э	Я подумаю
Эй мэдэ минду маӈга	Эта новость для меня сложна
Балдиори мэдэвэ чочагоасиси	От жизненных новостей не убежишь
Васоана эй мэдэ бичин	Недавно была эта новость
Яр-яр ундэсимби	Я такую ерунду не буду говорить
Гучи тэсиу	Посиди ещё
Си мимбивэ досодиасиси	Ты меня не слушаешь
