Дои амтака маня	На душе одни ягодки
Эди дяя мэнэ оркимби	Не прячь свою вину
Си оркинси эйду аба	Твоей вины тут нет
Улэн мурумби дяпагохани	Взял себя в руки, проявил лучшие качества
Ми мо-мат очимби	Я одеревенел(а)
Ми дои мома очини	Моя душа одеревенела
Ми дои мома осихани	Моя душа стала деревянная
Мэнэ байтадиа эди цоцачиа	От своих проблем не бегай
Дои гусэрини	Моя душа говорит
Мэнэ долаи нэру	Всё, что внутри, отложи (потом решишь)
Мэнэ долаи мурчигу	Подумай (внутри себя) хорошенько
Си миаванси тэмбэл-тэмбэл би	Ты (слишком) мягкий сердцем
Нёани гориа бахани	Он(а) с ума сошёл / сошла
Ёӈкини	Затянуло (её)
Хайми эрикпичэйси?	Почему вздыхаешь?
