Эди!	Не (делай)!
Пэкэ!	Горячо!
Ачаси!	Нельзя!
Илисиу кичорак!	Встань прямо!
Бала-бала!	Скорее!
Хэмэ биу!	Замолчи! (будь молча)
Хэмэ осигу!	Замолчи! (стань молчащим)
Эди туй тара!	Не делай так!
Даи уру!	Расти большой
Улэн досодиу эниэ ундэйвэни-э	Хорошо слушай, что мама говорит
Эди соӈгора	Не плачь
Ми пос энэи	Я иду (прямо) к своей цели
Сагди найва кидуми ая	Надо уважать старших
Ма!	На!
Энэгуэри!	Пойдём!
Макара досодиу	Внимательно слушай
Макара ицу	Внимательно (уставившись) смотри
Аӈгу ми уӈкимби	Сделай как я сказал(а)
Ми уӈкимби хэм дзобогосу	Как я сказал, всё сделайте (на работе)
