Си ми орондолаи-а илиу	Встань вместо меня (в каком-то деле)
Си ми орондолаи-а эну	Иди вместо меня (в каком-то деле)
Падиран-мат илисиу!	Стой как стена!
Муруни айсин-мат би	Золотой человек! (дословно “его разум как золото”)
Най наӈгаливани дяписи	Люди выбрасывают, а ты подбираешь
Ми ядахамби	Я устал(а)
Топичими-да баори	Плёвое дело это найти
Симболими сила лоптоахани	Вырвавшись из ошейника / еле-еле оторвался, чтобы оторваться
Дилгани лэр-лэр очи	Его горло охрипло
Аӈмавари ачорак досодичи	Слушают меня открыв рот
Чирчак наӈгалахани	Бросил мимо, не попав
Пичхай посини	Хоть как стрижёт
Дэӈгэрчэ энэхэси 	Аж вздрогнул
Диха копи-копи аба	Денег совсем нету
Эчиэ ликэ	Ещё пока что нет
Ми далиндии балдиси	Живёшь за мой счёт
Ми байтаи-а хисаӈгу!	Замолви слово за мою проблему / вину
Улэ мурундии … бурии	Даю от всей души (с хорошими мыслями)
