здравствуйте	wʉśa-wʉśa 	вўща вўща
здравствуйте	wʉśa wɵλati	вўща вөԓаты
ну что?	ja χuti?	йа хуты?
как дела?	muj wʉrən wɛrλən mănλət?	муй вўрән вєрԓән манԓәт?
что делаете?	muj wɛrλəti?	муй вєрԓәты?
ну как живёте?	ja χuti wɵλλəti?	йа хуты вөԓԓәты?
живёте потихоньку?	ajλta wɵλλəti?	айәԓта вөԓԓәты?
здоров ли ты?	tăλaŋa jăma wɵλλən?	тӑԓаӈа-йӑма вөԓән?
твоя мать здорова?	 aŋken tăλaŋa jăma wɵλ?	аӈкен тӑԓаӈа-йӑма вөԓ?
как мать?	aŋken χuti sa?	аӈкен хуты са?
как тебя зовут?	năŋ nɛmen muj?	нӑӈ нємен муй?
меня зовут Маша	 ma nɛmɛm maša	ма нємєм Маша
обращение к незнакомому человеку (буквально "незнакомый человечек")	wɵλλi χujatije	вөԓԓы хуйатыйе
какого ты рода?	 măta rɵt χănnɛχɵ?	мӑта рөт ханнєхө
из ... рода женщина / мужчина	... joχ imi / iki	... йох ими / ики
Рандымов	χăr sʉwt joχ imi / iki	хӑр сўвт йох ими / ики
Ты откуда приехал?	năŋ χuλśa juχətsən?	нӑӈ хуԓща йухәтсән?
Из какой деревни?	măta woš ewəλt?	мӑта вош эвәԓт?
Я из Полновата / Помута / Нумто	ma polnawat ewəλt / pomut ewəλt / tɵrəm λor ewəλt	ма полнават эвәԓт / помут эвәԓт / төрәм ԓор эвәԓт
Из какой далёкой земли ты, оказывается, приехал!	śi χʉwat mʉw ewəλt juχətmen	щи хўват мўв эвәԓт йухәтмен
Надолго приехал?	χʉw măra juχətsən?	хўв мӑра йухәтсән?
Я приехал на месяц	tiλəś măra juχətsəm	тыԓәщ мӑра йухәтсәм
По каким-то делам приехал?	muλti wɛr sa juχətsən? 	муԓты вєр са йухәтсән?
Я приехал в гости	mojλəti juχətsəm	мойԓәты йухәтсәм
Я приехал по работе	rɵpata wɛrλamən juχətsəm	рөпата вєрԓамән йухәтсәм
Я жить приехал	wɵλti juχətsəm	вөԓты йухәтсәм
Ты женат?	imi tăjλən?	ими тӑйԓән?
Ты замужем?	iki tăjλən?	ики тӑйԓән?
Я (не) женат	imi (ăn) tăjλəm	ими (ӑн) тӑйԓәм
Я (не) замужем	iki (ăn) tăjλəm	ики (ӑн) тӑйԓәм
Дети есть?	ńawrɛm tăjλən?	ньаврєм тӑйԓән?
Да, есть	śi tăjλəm	щи тӑйԓәм
до свидания!	pajəm wɵλəm	пайәм вөԓәм
ещё раз приезжай	mătta śos pa juχtijλa	мӑтта щос па йухтыйԓа
своим привет передавай	mirena wʉśa jasəŋ tuwa	мирена вўща йасәӈ тўва
