У меня большая семья	ma wɵn semja tajλəm	ма вөн сэмйа тайԓəм
Я вырос в большом доме	ma wɵn χotən ɛnəmsəm	ма вөн хотəн єнəмсəм
У меня много братьев и сестер	ma ar jaj pa upi tăjλəm	ма ар йай па упи тăйԓəм
Я единственный ребенок в семье	ma atəλt puχ / ewi aŋkem-aśem χuśa	ма атəԓт пух / эви аӈкэм-ащэм хуща
старший брат	(wɵn) jaj	(вөн) йай
старшая сестра	(wɵn) upi	(вөн) упи
младший брат	(aj) apśi / apali	(ай) апщи / апалы
младшая сестра	(aj) apal nɛ	(ай) апал нє
двойняшки	piλaŋ utŋən	пиԓаӈ утӈəн
родители	aŋki-aśi	аӈки-ащи
сирота	jiwλi-ăsλi	йивԓы-ăсԓы
мать	aŋki	аӈки
отец	aśi	ащи
сын	puχ	пух
дочь	ewi	эви
средний ребенок	kʉtəp	кўтəп
младший ребенок	jiw puχ / jiw ewi	йив пух / йив эви
внук	χiλi	хиԓы
внучка	χiλnɛ	хиԓнє
бабушка по отцу	śaśi	щащи
бабушка по матери	aŋaŋki	аӈаӈки
дедушка по отцу	śatśaśi	щатщащи
дедушка по матери	aŋśaśi	аӈщащи
прабабушка по отцу	wɵn śaśi	вөн щащи
прабабушка по матери	wɵn aŋaŋki	вөн аӈаӈки
прадедушка по отцу	wɵn śatśaśi	вөн щатщащи
прадедушка по матери	wɵn aŋśaśi	вөн аӈщащи
Это мои предки	ma śit katra jis rɵtn-aλ-am	ма щит катра йис рөтнаԓам
потомки	χɵnti jis rɵtn-aλ-am	хөнты йис рөтнаԓам
племянник	χiλi	хиԓы
племянница	χiλnɛ	хиԓнє
Двоюродные братья (дети родного сиблинга матери)	wɵrti	вөрты
Двоюродные сестры (дети родного сиблинга матери)	nij	ный
Двоюродные братья (дети родного сиблинга отца)	jaj	йай
Двоюродные сестры (дети родного сиблинга отца)	upi	упи
сводная сестра	jăχa tuwem up-ɛm	йăха тувэм уп-єм
сводный брат	jăχa tuwem jaj-ɛm — “вместе привели”	йăха тувэм йайєм
дядя (старший брат отца/матери)	aki	аки
дядя (младший брат отца/матери)	wɵrti	вөрты
тётя (старшая сестра отца/матери)	(śaś) upi	(щащ) упи
тётя (младшая сестра отца/матери)	nij	ный
муж	iki	ики
жена	imi	ими
свекор	ikem aśi	икэм ащи
свекровь	ikem aŋki	икэм аӈки
тесть	ʉp	ўп
теща	wɵntəp	вөнтəп
зять (муж дочери или младшей сестры)	wɛŋ	вєӈ
зять (муж старшей или двоюродной сестры)	kiλi	киԓы
невестка (жена сына или младшего брата)	meń	мэњ
невестка (жена старшего или двоюродного брата)	ańχi	ањхи
отчим	jiwλaŋ	йивԓаӈ
мачеха	ańχi	ањхи
пасынок	puχλaŋ	пухԓаӈ
падчерица	ewλaŋ	эвԓаӈ
холостяк	imi-λi χɵ	ими-ԓы хө
вдова	attəλ χeśəm χɵ	аттəԓ хэщəм хө
вдовец	attəλ χeśəm ne	аттəԓ хэщəм нэ
Я замужем	ma ik-əŋ ne	ма икєӈ нэ
Я женат	ma im-əŋ χɵ	ма имєӈ хө
Мы разошлись	min katna măn-s-əm-an	мин катна мăн-с-əм-ан
Выходи за меня	naŋ manema juwa ikija	наӈ манэма йува икийа
Ты мне нравишься	naŋ manem-a mosλ-ən	наӈ манэм-а мосԓ-əн
Он ко мне свататься приходил	λuw manema wort-əs-ti juχti-λ-əs	ԓув манэма вортəсты йухтыйԓəс
