Как интересно!	muj λampa	муй ԓампа!
Надо же!	pʉλaŋəλ	пўԓаӈәԓ!
да	нужно повторить фразу с частицей щи. например:	щи
Он приехал?	juχtəs?	йухтәс?
Да, приехал	śi juχtəs	щи йухтәс
нет	ăntɵm	ӑнтөм
действительно!	šop pa śi	шоп па щи
сделай, пожалуйста!	śi λuwat jăm wɛra	щи ԓуват йӑм вєра
Как жалко	šaλ'a pɵχta wɵλ 	шальа пөхта вөԓ
Ты по-хантыйски говоришь?	χănti jasəŋən putərλən?	хӑнты йасәӈән путәрԓән?
Я по хантыйски немножко говорю	χănti jasəŋən ješa putərλəm / wɵλəm	хӑнты йасәӈән йэша путәрԓәм / вөԓәм
Я по-хантыйски только понимаю немножко	jɛša χɵλλəm / tɵχ jasŋət uša wɛrλəm	  хөԓԓәм / төх йасӈәт уша вєрԓәм
Язык наш забывается	mʉŋ jasŋew mosλ nɵmti	мўӈ йасӈэв мосәԓ нөмти
Язык наш надо сохранять	mʉŋ jasŋew nuχ tˊɵjti mosəλ	мўӈ йасӈэв нух тьойиты мосәԓ
С детьми надо по-хантыйски говорить	ńawrɛmət piλa mosλ χănti jasəŋən putərti	ньаврємəт пиԓа мосәԓ хăнты йасәӈән путəрты
Скажи помедленнее	ajλtijewa lupa	айԓтыйэва лупа
Ещё раз повтори	pa lupa	па лупа
Понятно!	 uša jis	уша йис
Давайте по-хантыйски поговорим	χanti jasəŋən putərti pitλəw	ханты йасәӈән путәрты питԓәв
У меня диалект немножко другой	 ma putrupsɛm pa siršək	ма путрупсєм па сыршәк
Как красиво!	 muj λampa χuraməŋ 	муй ԓампа хурамәӈ
Она мастерица	λʉw wɛrəŋ nɛ	ԓўв вєрәӈ нє
Какой у неё красивый голос	tʉrsijeλ jăm 	тўрсыйэԓ йӑм
Какой красивый платок	śi murt χuraməŋ uχšam	щи мурт хурамәӈ ухшам
Погодка холодная	iśkišək satˊәλ	ищкишәк сатьәԓ
какая погода сегодня?	 tämχätəλ tɵrmew mujsar?	тӑмхӑтәԓ төрмэв муйсар?
Вот бы погода была хорошая	λɵλən jäm tɵrəm at wɵs	ԓөԓән йӑм төрәм ат вөс
(Сегодня) пурга	(tämχätəλ) wotasa jis	(тӑмхӑтәԓ) вотаса йис
(Сегодня) снег	(tämχätəλ) λońśa jis	(тӑмхӑтәԓ) ԓоньща йис
(Сегодня) дождь	(tämχätəλ) jɛrta jis	(тӑмхӑтәԓ) йєрта йис
(Сегодня) непогода	(tämχätəλ) pɵkatńi	(тӑмхӑтәԓ) пөкатньи
(Сегодня) жарко	(tämχätəλ) šăŋk	(тӑмхӑтәԓ) шӑӈк
(Сегодня) холодно	(tämχätəλ) iśki	(тӑмхӑтәԓ) ищки
Комаров (нынче) много	pɛλŋa ar (täm pʉš)	пєԓӈа ар (тӑм пўш)
Мошки (нынче) много	ńaməλt ar (täm pʉš)	ньамәԓт ар (тӑм пўш)
Комаров нынче мало	pɛλŋa šiməλ (täm pʉš)	пєԓӈа шимәԓ (тӑм пўш)
Комаров нынче мало	pɛλŋa šiməλ (täm pʉš)	пєԓӈа шимәԓ (тӑм пўш)
Надоели комары-черти!	 turasa jisət pɛλŋa kuλˊət	тураса йисәт пєԓӈа кульәт
Надоели мошки-черти!	 turasa jisət ńaməλ kuλˊət	тураса йисәт ньамәԓ кульәт
Сядь	omsa	омса
Сядь, пожалуйста	 omsaje jăm wɛra	омсайэ йӑм вєра
Встань	nuχ λoλ'a	нух ԓольа
Пропусти меня	mănti ɛsλe	мӑнты єсԓэ
Заходи	λuŋa	ԓуӈа
Иди сюда	 tiw juwa	тыв йува
Давай перекусим	muλti λeλəmən, ješa λawɛməλəmən	муԓты ԓэԓәмән, йєша ԓăвємәмән
Давай чаю попьём	šaj jănləmən	шай йӑнләмән
Сходим куда-нибудь	muλtăχija jăŋχλəmən	муԓтӑхийа йӑӈхԓәмән
Помоги мне немножко	mănɛm jеša ńota	мӑнєм йэша ньота
Дай закурить	χoŋsa mija	хоӈса мийа
Сходи в магазин	λapkaja jăŋχa	ԓапкайа йӑӈха
Ну что, пойдём? (нескольким адресатам)	ja χuti mănλəw	я хуты мӑнԓәв
Ну что, пойдём? (одному адресату)	ja χuti mănλəmən	я хуты мӑнԓәмән
Хватит!	tărməλ	тӑрмәԓ
Достаточно!	mɛta	мєта
(собаке) Пошла отсюда!	pir jira	пир йира
(собаке) хорошая собака	jăm ampije	йӑм ампийэ
Моя собака не злая	ma ampɛm λik ăntɵ	ма ампєм ԓык ӑнтө
Моя собака не кусается	 ampɛm ănt purśantλ	ампєм ӑнт пурщантԓ
Есть хочется	 ma λɛti λăŋχaλəm	ма ԓєты ԓӑӈхаԓәм
Я голоден	sămɛm woχsa	сӑмєм вохса
Пить хочется	 jink jănśi λăŋχaλəm	йинк йӑнщи ԓӑӈхаԓәм
Спать хочется	uλti λanχaλəm 	уԓты ԓӑӈхаԓәм
Мне нужно в туалет	aj χota λäŋχaλəm	ай хота ԓӑӈхаԓәм
