Что сегодня будем готовить?	tămχătəλ muj kawərtti pitλəw? 	тӑмхӑтәԓ муй кавәртты питԓәв?
Сегодня суп сварим / саламат сделаем. 	tămχătəλ sup kawərtλəw / soλamat wɛrλəw.	тӑмхӑтәԓ суп кавәртԓәв / соԓамат вєрԓәв.
Рыбу сварим / рыбу пожарим.	χʉλ kawərtλəw / χʉλ paλλəw.	хўԓ кавәртԓәв / хўԓ паԓԓәв.
Мясо сварим.	ńuχi kawərtλəw.	ньухи кавәртԓәв.
Ты поставил кастрюлю на печку?	pʉt omsəsən kɵra?	пўт омсәсән көра?
Воду налил в кастрюлю? - Налил.	jiŋk punsen pʉtena? -  punsɛm.	йиӈк пунсэн пўтэна? -  пунсєм.
Я картошку почистил.	kartoška ńăχəsəsəm.	картошка ньӑхәсәсәм.
Рыбу нарезала.	χʉλ ewətλ’əsəm.	хўԓ эвәтльәсәм.
Посоли (воду в кастрюле).	pʉtən suλen pune.	пўтән суԓэн пунэ.
Тесто поставь (намешай).	ńań šʉm rʉwta.	ньань шўм рўвта.
Немножко соли не хватает	jɛša suλen änt tärəmλa	йєша суԓән ӑн тӑрәмԓа
Многовато соли положила	aršək suλən punnɛm 	аршәк суԓән пунмєм
		
Мясо мелко нарежем.	ńuχi aja ewλ'əλəw 	ньухи айа эвльәԓәв
Варим пока мягкое не станет.	kawərtλəw λɛpta jitaλ wɵnta 	кавәртԓәв ԓєпта йитаԓ вөнта
Потом крупу опустим.	śăλta kʉrpajen ɛsλλew 	щӑԓта кўрпайэн єсԓԓэв
Дальше варим, пока вода не выварится.	pa jeλλi kawərtλew, jiŋkəλ kašəntλ'əti wɵnta 	па йэԓԓы кавәртԓэв, йиӈкәԓ кашәнтльәты вөнта
И после, готово!	śi jʉpijən jetšəs 	щи йўпийән йэтшәс
Вода как впиталась, можно кушать.	jiŋkəλ kanšəm jupijən, λɛti răχəλ 	йиӈкәԓ каншәм йупийән, ԓєты рӑхәԓ
		
Поставь хлеб в печку!	ńańλan omsaλi kɵra! 	ньаньԓан омсаԓы көра!
Ждем когда испечется.	λawəλλew jetšəteλ wɵnta	ԓавәԓԓэв йэтшәтэԓ вөнта
Хлеб испечется, с горячим хлебом саламат будем кушать.	pa kawərəm, ńań piλa soλamat λɛλəw 	па кавәрәм, ньань пиԓа соԓамат ԓєԓәв
После того как вытащим хлеб из печи, в печку ставим запекать рыбу.	ńań kɵrew ewəλt nuχ wʉti jʉpijən, kɵra omsλəw śărna χʉλ	ньань көрэв эвәԓт нух вўты йўпийән, көра омсԓәв щӑрна хўԓ
Муксуна разделаем, посолим.	muχsəŋ ewλ'əλəw, suλiλew.	мухсәӈ эвльәԓәв, суԓыԓэв.
Немножко подождем – пусть просолится.	ješa λawəλλew, at suλitijλλ	йэша ԓавәԓԓэв, ат суԓытыйԓԓ
Потом будем кушать соленую рыбу.	pa suλəŋ χʉλ λɛλəw 	па суԓәӈ хўԓ ԓєԓәв
		
В следующий раз суп сварим.	pa śos λaŋt jiŋk kawərλəw	па щос ԓаӈт йиӈк кавәрԓәв
Мясо опустим в кастрюлю, пусть поварится.	ńuχi pʉta ɛsλəw, at kawərλ.	ньухи пўта єсԓәв, ат кавәрԓ.
Немножко пусть поварится – потом опускаем картошку.	ješa kawərtaλ jʉpijən kartoškajen ɛsλew.	йэша кавәртаԓ йўпийән картошкайэн єсԓэв.
Потом лапшу и лук опускаем.	śi jupijən lopšajen ɛsλew pa luken.	щи йупийән лопшайэн єсԓэв па лукен.
Еще немного поварится, и готово!	pa jăša kawərλ pa, śi jetšəλ 	па йӑша кавәрԓ па, щи йэтшәԓ
		
Рыбу на кусочки разрежем, посолим.	χʉλ pʉlena ewλ'əλəw, suλiλəw.	хўԓ пўлэна эвльәԓәв, суԓыԓәв.
Раскладываем на железные листы и ставим в печку на полчаса.	karti aŋeta punλ'əλəw, kɵra omsλ'əλəw śos šɵpkɛma	карты аӈэта пунльәԓәв, көра омсльәԓәв щос шөпкєма
