пойдем ловить рыбу!	xʉλ wɛλti mănλəmən	xўԓ вєԓты мăнԓəмəн
пойдем удить!	ńătśi mănλəmən	њăтщи мăнԓəмəн
пойдем поставим мордушку!	pɵn oməsti mănλəmən	пөн омəсты мăнԓəмəн
пойдем поставим сеть	mănλəmən xoλəp oməsλəmən	мăнԓəмəн xоԓəп омəсԓəмəн
ну пойдем	ja mănλəmən	йа мăнԓəмəн
для сетки колышек срубил?	χoλəp šojət sɛwərtsen?	хоԓəп шойəт сєвəртсэн?
колышек от сетки поглубже поставь	(χoλəp) šojten nikšək λońśe	(хоԓəп) шойтэн ныкшəк ԓоњщэ
ставь!	λońśe	ԓоњщэ
тетиву (сетки) привязывай	(χoλəp) śurasŋəλan jiraλə	(хоԓəп) щурасӈəԓан йираԓə
я буду медленно грести	ma ajλta λɵwəλλəm	ма айԓта ԓөвəԓԓəм
отпускай сетку!	χoλpen esλe	хоԓпэн эсԓэ
ну, пусть стоит!	pa at oməsλ	па ат омəсԓ
вечером посмотрим	jetn wanλɛmən	йэтн ванԓємəн
какая большая щука поймалась!	muj λampa wɵn sort xojmaλ	муй ԓампа вөн сорт xоймаԓ
две щуки попалось!	kăt sort χojmaλ	кăт сорт хоймаԓ
в мои сети много рыбы попало	ma χɵλpɛm χuλən arən χojəm	ма хөԓпєм хуԓəн арəн хойəм
моя сеть вообще пустая	χoλpɛm ńur tăλ	хоԓпєм њур тăԓ
толком ничего и не попалось	ušəŋ nɛməλt ănt χojmaλ	ушəӈ нємəԓт ăнт хоймаԓ
рыбы хорошо поймали	χʉλ jăma wɛλsəmən	хўԓ йăма вєԓсəмəн
с полмешка будет	χiršɵpkɛm wɵλ	хиршөпкєм вөԓ
я ловлю рыбу на удочку	ma ńătləm	ма њăтлəм
удочка	ńăš	њăш
забрасывай удочку!	ńăšen wuśke	њăшэн вущкэ
наживка	ńăš pʉl	њăш пўл
насаживай наживку	ńăš pʉl jośte	њăш пўл йощтэ
насаживай червяка	mʉwλɛr jośte	мўвԓєр йощтэ
у меня клюнуло	ńăšɛm tɵχəmsa	њăшєм төхəмса
скорее подсекай	sora sɵχte	сора сөхтэ
скорее вытаскивай	sora nuχ taλe	сора нух таԓэ
рыба сорвалась	χʉλ nuχ toχnɛməs	хўԓ нух тохнємəс
леска оборвалась	suχmɛm toχnɛməs	сухмєм тохнємəс
моя удочка хорошо подклевывается	ńăšɛm jăma taλλ'əλi χuλən	Њăшєм хуԓəн йăма таԓљəԓы
удилище	ńăš juχ	њăш йух
удилище там, на старице срублю	ńăš juχ tuta, wɵrijən sɛwərtλəm	њăш йух тута, вөрыйəн сєвəртԓəм
невод	tuχəλ	тухəԓ
неводить	tuχλəti	тухԓəты
может, завтра неводить пойдем?	χăλewət mosəŋ tuχλeti jăŋχλəmən	хăԓэвəт мосəӈ тухԓэты йăӈхԓəмəн
я вечером невод починю	ma jetn tuχλam λeśitλan	ма йэтн тухԓам ԓэщитԓан
мотня (мешок в середине невода)	matńa χir	матња хир
мотня порвалась	matńajen taχərλəs	матњайэн тахəрԓəс
невод порвался	tuχλen taχərλəs	тухԓэн тахəрԓəс
невод быстро пронесло по течению	tuχλen sora tɵsi	тухԓэн сора төсы
возьми рыбу из мотни	χʉλ matńa ewəλt nuχ wuje	хўԓ матња эвəԓт нух вуйэ
край невода, который к берегу	tuχəλ wʉt oλŋen	тухəԓ вўт оԓӈэн
край невода, который ближе к середине реки	tuχəλ nik oλŋən	тухəԓ нык оԓӈəн
в тот край, который ближе к берегу, больше рыбы попало	nik oλŋəλən aršək pitmaλ	нык оԓӈəԓəн аршəк питмаԓ
держи край невода	tuχəλ oλŋen kătλe	тухəԓ оԓӈэн кăтԓэ
забрось невод	tuχλen wuśke	тухԓэн вущкэ
веди невод	tuχλen tuwe	тухԓэн тувэ
мордушка (морда, гымга)	pɵn	пөн
поставь мордушку сюда!	pɵn tăta omse	пөн тăта омсэ
глубокое место	măλ tăχi	мăԓ тăхи
место с быстрым течением	uwəŋ tăχi	увəӈ тăхи
мордушку надо поставить туда, где поглубже	pɵn măλ tăχija oməsti mosλ	пөн мăԓ тăхийа омəсты мосԓ
мордушку надо поставить туда, где течение побыстрее	pɵn uwəŋ tăχijen oməsti mɵsλ	пөн увəӈ тăхийэн омəсты мөсԓ
заглуби мордушку!	pɵnen mărtte	пөнэн мăрттэ
вытаскивай мордушку!	pɵnen nuχ taλe	пөнэн нух таԓэ
лед отдолби	jɛŋkeλ nuχ pɵχλe	йєӈкэԓ нух пөхԓэ
а что в мордушке?	pɵnen muj tăjλ?	пөнэн муй тăйԓ?
в мордушку много рыбы попалось	pɵnen ar χʉλən λuŋəm	пөнэн ар хўԓəн ԓуӈəм
мордушка полная попалась!	pɵnen tăλijewa λuŋəm	пөнэн тăԓыйэва ԓуӈəм
еле вытащил	tɵp nuχ tăλsɛm	төп нух тăԓсєм
