пойдем посмотрим ловушки	sɛsi wantti mănλəmən	сєсы вантты мăнԓəмəн
я насторожил ловушки	ma sɛsi worsəm	ма сєсы ворсəм
ловушка упала!	sɛsɛm iλ pitmaλ	сєсєм иԓ питмаԓ
ничего нет	nɛməλt ăntɵ	нємəԓт ăнтө
белочка, наверное, прыгнула	λăŋkilenki iśipa nawərməs	ԓăӈкилэнки ищипа навəрмəс
тут что-то есть!	tăta muλti wɵλ	тăта муԓты вөԓ
вот та ловушка упала	tʉm sɛsɛn pitmaλ	тўм сєсєн питмаԓ
глухарка попалась!	χănšaŋ lʉk pitmaλ	хăншаӈ лўк питмаԓ
перепелка попалась	kʉtri pitmaλ	кўтры питмаԓ
недавно в эту ловушку попадалась глухарка	muλχašək tăm sɛsijən kʉtri pitijλəs	муԓхашəк тăм сєсыйəн кўтры питыйԓəс
дальше пойдем	jɛλšək pa mănλəmən	йєԓшəк па мăнԓəмəн
на краю бора у нас другая ловушка	joχəm ńuλən pa sɛsi tăjλəm	йохəм њуԓəн па сєсы тăйԓəм
сюда хорошо попадаются глухари	śăta lʉkət jăma pitijλət	щăта лўкəт йăма питыйԓəт
этой осенью глухари бывают?	tăm sʉs lʉk, muj, wɵλ?	тăм сўс лўк, муй, вөԓ?
да, бывают	śi wɵλ	щи вөԓ
в прошлом году мало было	tɵńaλ oλ šiməλ wɵs	төњаԓ оԓ шимəԓ вөс
раньше у нас была ловушка на медведя	katra pawtɛp tăjsəw	катра павтєп тăйсəв
теперь мы ее не трогаем	in an kɛtəmλew	ин ан кєтəмԓэв
так сильно хлопает!	śi wɛra wʉśkəsew	щи вєра вўщкəсэв
теперь ружья есть	tăm jisən pʉškan wɵλ	тăм йисəн пўшкан вөԓ
пойдем на охоту	ja wɛλpasa mănλəmən	йа вєԓпаса мăнԓəмəн
ты вверх по реке иди	năŋ (juχan χuwat) nuχλi măna	нăӈ (йухан хуват) нухԓы мăна
а я вниз пойду	ma pa uw sa mănλəm	ма па ув са мăнԓəм
я вчера в сопках соболя гонял	ma muλχatλ wɵnt wʉrən ńuχəs ńɵχəλˊəsəm	ма муԓхатԓ вөнт вўрəн њухəс њөхəљəсəм
насилу его добыл!	wʉrajn joša pawətsɛm	вўрайн йоша павəтсєм
чуть меня ночь не застала	χăś pătləsijəm	хăщ пăтлəсыйəм
ты этого ручейка придерживайся	tăm aj juχanen χonəŋən katλəsa	тăм ай йуханэн хонəӈəн катԓəса
не потеряешься	ănt λomətλən	ăнт ԓомəтԓəн
он потом в союмку впадает	wʉtən sojma pitλ	вўтəн сойма питԓ
по берегу союмки иди	sojəm kiməλ χʉwat jăŋχa	сойəм кимəԓ хўват йăӈха
понятно как домой возвращаться	jetən juχλi jiti jošen ušəŋ	йэтəн йухԓы йиты йошэн ушəӈ
ружье стволом вниз держи	puškanen tʉrλan iλi tăje —	пушканэн тўрԓан иԓы тăйэ —
вдруг ствол снегом забьется, если будешь вверх держать	puškan tʉren kamən λośən pitλa, nuχλi ki tăjλən	пушкан тўрэн камəн ԓощəн питԓа, нухԓы ки тăйԓəн
когда я тут поблизости ходил, видел звериные следы	ma tămwanən śiweλt jăŋχmɛmən, wɵj păntət wantsəm	ма тăмванəн щивэԓт йăӈхмємəн, вөй пăнтəт вантсəм
