Ласковые обращения		
дитятко	pušχije	пушхийэ
средний сынок	kutpije	кўтпийэ
старший сын	wɵnšək	вөншәк
милый	tɵpəŋ	тьөпəӈ
милый	tɵpije	тьөпийэ
внук	xiλije	хиԓийэ
внучка	χiλnɛŋije	хиԓнєӈийэ
		
		
Поощрение		
какой хороший!	Śi χuti jăm, jăm puśχie	щи хуты йăм, йăм пушхийэ
Хороший мальчик, хорошая девочка	Mujλampa jăm puχ, mujλampa jăm ewi	муйԓампа йăм пух, муйԓампа йăм эви
Самый хороший, самый лучший	Mɛt jăm	мєт йăм
ты мой дорогой	Tənaŋ utijɛm	тынǝӈ (йэшəк) утыйєм
нужный мне	mosti utijɛm	мосты утыйєм
		
Наказание		
Сейчас выпорю тебя	śi wurśiλɛm 	щи вурщиԓєм
Побью ведь	śi senkλɛm	щи сэнкԓєм
Малыш, ты сейчас получишь! 	aj, suλa śi piλen 	ай, суԓа щи питԓəн
Я же тебе всыплю	suλn śi maλɛm 	суԓăн щи маԓєм
Малыш, зачем так делаешь?	aj śiti χuλti wɵλλən	ай щиты хуԓты вөԓԓəн
Малыш, ты что натворил?	aj muj śit wɛrsən 	ай муй щит вєрсəн
Зачем так делаешь?	muja śiti wɵjtλən	муйа щиты вөйԓəн
		
Доброе утро		
Пора вставать!	kiλa	киԓа
Нет, я еще чуть-чуть полежу.	ješa pa uλλəm	йєша па уԓԓәм
Давай скорее умывайся-одевайся и приходи завтракать.	kiλa, λuχəttijəλa, λɵmλˊa pa λɛti jʉwa.	киԓа, ԓухәттыйԓа, ԓɵмтльа / ԓɵмтԓє па ԓєты йўва.
А сегодня учимся?	tămχătəλ muj mosλ wɵnλtijəλti pitλəw?	тӑмхӑтәԓ вөнəԓтыйәԓты питԓәв?
Да, конечно, вставай скорее, а то дома останешься.	pa ănt χɵn. sora nuχ kiλa. juχi śi χat’λen. 	па ӑнтхɵн. сора нух киԓа. йухи щи хатԓєн.
Не возись	aλ potλema	аԓ потԓэма
Завтра уже выходной	χăλewət rutśǝti χatəλ	хăԓэвәт рўтщǝты хăтǝԓ
завтра можешь подольше поспать.	χuwšək uλti raχəλ	хувшак уԓты рахәԓ
Пойдем завтра гулять на озеро?	χăλewət λora jaŋχλəmən? ješa šɵšijλəmən	хăԓэвәт ԓорa яӈԓәмән? йэша шɵшийəԓәмән
Да, хорошо. Можешь позвать друзей. 	jăm. λɵχsλən kʉš woχλəλən	йӑм. ԓөхсԓән кўш вохԓаԓән
		
Утешение		
Почему ты плачешь? 	muja pa χoλaλen?	муйа па хоԓаԓэн?
Что случилось?	χuti jisən	хуты йисəн
Тебя кто-то обидел? 	χujatən muj šɵkatsajən?	хуйатән муй шɵкатсайəн?
Животик болит	χunλ kăši 	хунԓ кӑши
Нет, я упал и разбил коленку	ăntɵ. iλ răkensəm. šanšɛm kăšaλesi	ӑнтө. иԓ рăкǝнсәм. шаншєм кăшаԓəсы
Дай поцелую. Скоро всё пройдёт.	tiw juwe mosλtəλɛm. jăma jiλ	тыв йувэ мосԓтăԓєм. йӑма йиԓ
Дай ему соску, что-то пососать	šepti utən mije	шєпты утн мийэ
Покачай его	t'ojŋəλate	тьойӈаԓтэ
		
		
Разговор за едой		
Мама, суп горячий. Подуй немного!	aŋka, λant jinken kawrəm. ješa puλe	аӈка, ԓант йинкен каврум. йэша пуԓэ
Подожди чуть-чуть, он скоро остынет	ješa păka. potλa 	йэша пӑка. потԓа
Надо всё доесть	χuλ λɛti mosλ	хуԓ ԓєты мосԓ
Не буду, наелся 	ăn λɛλɛm, χunɛm śi puntsɛm	ӑн ԓєԓєм, хунєм щи пунтсєм
Не хочешь - иди гуляй	ăn λaŋχaλən ki, măne šɵšiλa.	ӑн ԓаӈхаԓән ки, мӑнэ шөшиԓа.
Проголодаешься - поешь.	soχərmaλijən - λɛλen	сөхəрмаԓыйн - ԓєԓэн
		
Разговор на ночь		
Мама укладывает ребенка. 	anki ńawrɛmλ iλ wɵλtaλλe	аӈки ньаврємԓ иԓ вɵԓтаԓԓэ
Уже поздно	jetna jis.	йэтна йис.
Пора спать	uλti mosλ / uλti puraja jis.	уԓты мосԓ / уԓты пурайа йис.
Утром рано вставать нужно 	aλəŋ aλəŋ nuχ kilti mosλ.	аԓəӈ аԓəӈ нух киԓты мосԓ.
Мама, не уходи. 	anka, aλ măna.	аӈка, аԓ мӑна.
Не выключай свет	tʉten aλ χɵrte	тўтэн аԓ хөртэ
Ты же знаешь, я боюсь темноты.	tʉtλi paλλəm uλti. 	тўтԓы пăԓԓәм уԓты.
Расскажи мне сказку	manɛm mońś putərta	манєм моньщ путәрта
Давай я спою колыбельную.	moś jukana arən ariλɛm	моньщ йукана арн ариԓєм
		
Игры		
Кукла	akań	акань
Пойдём играть!	junti mănλəmən	йунты мӑнԓәмән
Пойдём прятаться	manλəmən χańatijəλti 	ханьатыйәԓты манԓәмән 
Пойдём в мячик играть 	manλəmən mačokən junti 	мячокән йунты манԓәмән 
Поиграем немного в косточки / палочки	śɵλən jɛša juntλəmən / juntλəw	щөԓән йєша йунтԓәмән / йунтԓәв
Поиграем в камушки	kewsuk-ən junta-əw	кевшўкн йунтԓув
Погремушка	sawliti juntət	савлыты йунтут
Играть рогами (оленя)	oŋətən junti	оӈəтəн йунты
